ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,23,0,-23
1,1,1,1883,1239,-644
2,0,0,135,0,-135
3,0,0,0,0,0
4,0,0,79,0,-79
5,0,0,136,0,-136
6,1,0,287,0,-287
7,1,0,3,0,-3
8,1,1,271,2063,1792
9,1,1,435,1219,784
10,1,1,439,2243,1804
11,1,0,29,0,-29
12,0,0,76,0,-76
13,1,1,1349,2152,803
14,0,0,23,0,-23
15,1,0,23,0,-23
16,1,0,23,0,-23
17,1,1,70,1702,1632
18,1,1,1121,1338,217
19,0,0,18,0,-18
20,1,1,72,1401,1329
21,1,0,18,0,-18
22,0,0,39,0,-39
23,1,0,107,0,-107
24,0,0,88,0,-88
25,0,0,36,0,-36
26,1,0,65,0,-65
27,1,0,69,0,-69
28,0,0,2,0,-2
29,0,0,67,0,-67
30,1,1,181,1887,1706
31,0,0,29,0,-29
32,1,1,1000,1735,735
33,0,0,20,0,-20
34,1,1,146,1364,1218
35,1,1,218,1223,1005
36,1,0,172,0,-172
37,0,0,72,0,-72
38,0,0,31,0,-31
39,1,1,430,2322,1892
40,0,0,15,0,-15
41,1,1,312,3209,2897
42,1,0,35,0,-35
43,1,1,421,1618,1197
44,0,0,95,0,-95
45,1,0,61,0,-61
46,1,1,263,2227,1964
47,0,0,4,0,-4
48,0,0,46,0,-46
49,0,0,82,0,-82
50,1,0,114,0,-114
51,1,1,348,1906,1558
52,1,0,22,0,-22
53,1,0,19,0,-19
54,1,1,644,1287,643
55,1,1,363,1403,1040
56,1,0,263,0,-263
57,1,0,41,0,-41
58,1,1,345,1313,968
59,0,0,46,0,-46
60,1,1,2112,1418,-694
61,1,1,525,2589,2064
62,0,0,11,0,-11
63,1,0,6,0,-6
64,1,1,751,1494,743
65,1,0,8,0,-8
66,1,0,108,0,-108
67,0,0,79,0,-79
68,1,0,93,0,-93
69,1,1,574,1228,654
70,1,0,2,0,-2
71,1,0,65,0,-65
72,0,0,28,0,-28
73,1,1,520,1382,862
74,1,0,10,0,-10
75,0,0,112,0,-112
76,0,0,26,0,-26
77,1,0,58,0,-58
78,1,1,961,1379,418
79,0,0,75,0,-75
80,0,0,184,0,-184
81,1,1,388,1313,925
82,0,0,2,0,-2
83,1,0,1,0,-1
84,0,0,87,0,-87
85,1,1,844,1700,856
86,1,1,456,1307,851
87,1,0,22,0,-22
88,0,0,35,0,-35
89,1,0,43,0,-43
90,0,0,49,0,-49
91,1,0,88,0,-88
92,1,1,630,1502,872
93,0,0,88,0,-88
94,0,0,35,0,-35
95,0,0,94,0,-94
96,1,1,1152,1857,705
97,1,0,55,0,-55
98,1,1,186,1262,1076
99,1,1,727,3816,3089
100,1,1,703,6492,5789
101,1,1,469,1590,1121
