ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,97,0,-97
1,0,0,6,0,-6
2,1,1,1550,1241,-309
3,0,0,2,0,-2
4,1,1,30,1253,1223
5,0,0,43,0,-43
6,1,0,13,0,-13
7,1,0,5,0,-5
8,1,0,148,0,-148
9,0,0,54,0,-54
10,0,0,199,0,-199
11,0,0,6,0,-6
12,1,0,176,0,-176
13,1,0,15,0,-15
14,1,0,22,0,-22
15,1,1,536,1695,1159
16,1,0,3,0,-3
17,1,0,5,0,-5
18,0,0,61,0,-61
19,1,1,433,1487,1054
20,1,1,215,1416,1201
21,1,1,66,1357,1291
22,0,0,58,0,-58
23,1,0,62,0,-62
24,1,0,21,0,-21
25,1,0,26,0,-26
26,0,0,53,0,-53
27,0,0,17,0,-17
28,1,0,42,0,-42
29,0,0,60,0,-60
30,0,0,54,0,-54
31,0,0,126,0,-126
32,0,0,26,0,-26
33,1,1,204,1804,1600
34,0,0,57,0,-57
35,0,0,39,0,-39
36,1,1,497,4430,3933
37,0,0,67,0,-67
38,0,0,42,0,-42
39,0,0,12,0,-12
40,1,1,633,1453,820
41,0,0,61,0,-61
42,1,0,54,0,-54
43,0,0,15,0,-15
44,1,0,66,0,-66
45,1,1,763,1254,491
46,0,0,9,0,-9
47,0,0,13,0,-13
48,0,0,35,0,-35
49,1,1,272,1306,1034
50,0,0,5,0,-5
51,0,0,28,0,-28
52,0,0,13,0,-13
53,0,0,78,0,-78
54,1,0,3,0,-3
55,1,0,8,0,-8
56,1,0,62,0,-62
57,0,0,27,0,-27
58,0,0,53,0,-53
59,0,0,136,0,-136
60,1,0,48,0,-48
61,1,1,696,1255,559
62,1,0,171,0,-171
63,0,0,10,0,-10
64,1,0,17,0,-17
65,1,1,196,1738,1542
66,1,0,30,0,-30
67,0,0,22,0,-22
68,1,1,862,1827,965
69,1,1,330,1296,966
70,0,0,61,0,-61
71,0,0,21,0,-21
72,1,1,219,1542,1323
73,1,0,6,0,-6
74,1,1,268,2205,1937
75,1,1,457,1785,1328
76,1,1,1423,1321,-102
77,0,0,8,0,-8
78,1,0,2,0,-2
79,1,0,106,0,-106
80,0,0,81,0,-81
81,1,0,194,0,-194
82,1,1,1273,2472,1199
83,1,1,491,1320,829
84,0,0,103,0,-103
85,0,0,28,0,-28
86,1,1,295,1399,1104
87,0,0,45,0,-45
88,1,1,314,2197,1883
89,0,0,52,0,-52
90,1,1,1585,1893,308
91,1,1,56,2234,2178
92,1,0,39,0,-39
93,0,0,36,0,-36
94,1,0,91,0,-91
95,0,0,30,0,-30
96,1,1,147,1718,1571
97,0,0,71,0,-71
98,1,1,976,5452,4476
99,1,0,11,0,-11
100,0,0,1,0,-1
101,1,0,9,0,-9
102,1,1,142,1861,1719
103,1,1,206,1267,1061
104,1,0,1,0,-1
105,1,1,162,1341,1179
106,0,0,113,0,-113
107,0,0,94,0,-94
108,0,0,1,0,-1
109,1,0,0,0,0
110,1,1,229,1367,1138
111,1,1,290,1268,978
112,1,1,324,1467,1143
113,1,1,349,1383,1034
114,0,0,87,0,-87
115,1,1,118,1358,1240
116,1,1,2037,1249,-788
117,1,1,101,1304,1203
118,1,0,250,0,-250
119,1,1,15,1320,1305
120,1,0,71,0,-71
121,1,0,0,0,0
122,0,0,2,0,-2
123,1,1,600,1250,650
124,0,0,10,0,-10
125,0,0,20,0,-20
126,0,0,71,0,-71
127,0,0,151,0,-151
128,0,0,111,0,-111
129,0,0,50,0,-50
130,1,1,270,1456,1186
131,1,0,41,0,-41
132,1,1,1160,1247,87
133,1,1,316,1970,1654
134,0,0,40,0,-40
135,1,1,667,1445,778
136,1,0,121,0,-121
137,1,1,45,1314,1269
138,0,0,25,0,-25
139,0,0,41,0,-41
140,0,0,44,0,-44
141,1,0,22,0,-22
142,1,1,1946,7325,5379
143,0,0,44,0,-44
144,0,0,153,0,-153
145,1,1,420,1971,1551
146,0,0,35,0,-35
147,0,0,22,0,-22
148,1,0,22,0,-22
149,1,1,679,2009,1330
150,1,0,75,0,-75
151,0,0,32,0,-32
152,1,1,993,2041,1048
153,0,0,91,0,-91
154,1,0,48,0,-48
155,1,0,30,0,-30
156,1,1,429,2015,1586
157,1,0,36,0,-36
158,1,0,59,0,-59
159,1,1,394,1543,1149
160,1,0,117,0,-117
161,1,1,1072,1701,629
162,1,0,25,0,-25
163,1,1,741,1463,722
164,0,0,130,0,-130
165,1,1,1654,1247,-407
166,1,1,1137,1277,140
167,0,0,21,0,-21
168,1,1,544,1410,866
169,0,0,90,0,-90
170,0,0,114,0,-114
171,1,0,164,0,-164
172,0,0,7,0,-7
173,1,0,38,0,-38
174,0,0,59,0,-59
175,0,0,22,0,-22
176,1,0,7,0,-7
177,1,0,114,0,-114
178,1,0,14,0,-14
179,0,0,163,0,-163
180,0,0,43,0,-43
181,0,0,43,0,-43
182,0,0,39,0,-39
183,0,0,23,0,-23
184,0,0,14,0,-14
185,0,0,57,0,-57
186,0,0,46,0,-46
187,1,1,623,1539,916
188,1,1,762,1374,612
189,0,0,8,0,-8
190,0,0,1,0,-1
191,1,0,155,0,-155
192,1,0,20,0,-20
193,0,0,12,0,-12
194,0,0,65,0,-65
195,1,0,96,0,-96
196,1,0,80,0,-80
197,0,0,141,0,-141
198,0,0,112,0,-112
199,1,0,47,0,-47
200,1,1,895,1607,712
201,1,0,104,0,-104
202,0,0,69,0,-69
203,0,0,6,0,-6
204,1,1,349,2952,2603
205,0,0,209,0,-209
206,1,1,586,1365,779
207,1,1,796,1258,462
208,1,0,18,0,-18
209,0,0,4,0,-4
210,0,0,17,0,-17
211,0,0,48,0,-48
212,1,0,26,0,-26
213,1,1,164,1304,1140
214,0,0,19,0,-19
215,1,1,702,1276,574
216,0,0,15,0,-15
217,1,0,2,0,-2
218,0,0,28,0,-28
219,0,0,20,0,-20
220,1,0,33,0,-33
221,1,0,11,0,-11
222,1,0,6,0,-6
223,0,0,3,0,-3
224,1,1,846,1438,592
225,0,0,19,0,-19
226,0,0,20,0,-20
227,1,0,58,0,-58
228,1,0,66,0,-66
229,1,0,29,0,-29
230,1,0,82,0,-82
231,0,0,38,0,-38
232,0,0,46,0,-46
233,0,0,148,0,-148
234,1,1,362,1369,1007
235,1,1,92,1394,1302
236,1,1,76,1468,1392
237,1,1,131,1322,1191
238,0,0,93,0,-93
239,0,0,33,0,-33
240,1,1,452,1585,1133
241,0,0,1,0,-1
242,1,0,4,0,-4
243,0,0,17,0,-17
244,1,0,1,0,-1
245,1,1,644,1706,1062
246,1,1,480,1940,1460
247,1,1,720,1654,934
248,0,0,87,0,-87
249,1,1,282,1727,1445
250,1,0,28,0,-28
251,0,0,46,0,-46
